num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
1550,0.38,0.9836774193548387,0.008177983126911483,0.9811612903225807,0.01475839257719475,2.132289377289377,0.7766927740572377,2.7838665501165503,1.3279700391129554
1525,0.39,0.9552786885245901,0.019968143281129887,0.953704918032787,0.025349914657281925,3.549229797979798,1.9176032275514299,4.008004576412505,1.735532260359201
1500,0.4,0.9108666666666666,0.036836710084867,0.9136,0.034489862529212115,4.858826845660827,2.128454392332219,5.261274833467221,2.1344258352680336
1475,0.41,0.8900338983050847,0.03941776774088343,0.8913898305084746,0.03641546887858817,4.635380435796458,1.6978203178517084,5.1156763382095445,1.799286675232571
1450,0.42,0.8353793103448275,0.07646299783760886,0.782,0.13072091943996977,5.437494404032382,2.409647455699686,8.316602433554158,5.987446474945309
1425,0.43,0.7538947368421053,0.11878069135351361,0.7308771929824561,0.16890970372777825,6.649357468095873,2.5889847448488803,8.280925175217273,5.560467501366931
1400,0.44,0.6501428571428571,0.16386723789497643,0.6705,0.18639072473589907,8.310129992559865,3.8917350741919448,8.624768255824241,4.795941982936837
1375,0.45,0.5936,0.17948459625786153,0.6068363636363636,0.1815562395950756,8.62203198495211,3.674341086060367,8.778164011096521,3.8945184239413932
1350,0.46,0.4514814814814815,0.1309420918884984,0.5328148148148149,0.16714136331255702,9.93262760842102,2.3826544017768883,7.332270593387179,2.559126457395713
1325,0.47,0.3919245283018868,0.13395844917354047,0.4819622641509434,0.1627224574443198,7.616546038656763,1.7676371778198627,5.706717615401109,1.8687210829679683
1300,0.48,0.36953846153846154,0.13137977132325968,0.43623076923076926,0.13925482627316074,5.773749252740708,1.2838299742505566,4.6314064449330425,1.1396224017526935
1275,0.49,0.34501960784313723,0.12735351393015923,0.37450980392156863,0.11608446666286387,4.608467376156287,0.9458336643201972,4.074076636069658,0.7360193608646394
1250,0.5,0.31112,0.11940858707256638,0.32488,0.09947735420687465,3.953622909396851,0.7595478755459021,3.622921336272463,0.489505497365858
1225,0.51,0.27755102040816326,0.10660973074372646,0.2846530612244898,0.0760183186186522,3.451369698875252,0.567992747944593,3.256111982880791,0.30425357611462445
1200,0.52,0.23866666666666667,0.08879873900784131,0.23116666666666666,0.06055198766247517,3.106488852158914,0.4300720679359439,3.0289314959666855,0.19323659322051367
1175,0.53,0.17821276595744678,0.07270075742919141,0.15727659574468084,0.04225484061923264,2.904835741009445,0.3101149479873074,2.922161894717945,0.12209064853268863
1150,0.54,0.1353913043478261,0.06393003159156474,0.0742608695652174,0.018883785465238806,2.695489944034479,0.22011502878048655,2.84032698552728,0.06628584970017895
1125,0.55,0.07591111111111111,0.0297927362465918,0.03484444444444444,0.015188183985738273,2.554763421482059,0.09686259878541172,2.6396390028624035,0.04114465738058098
