num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
475,0.81,0.0436,0.01441990783086492,0.04048421052631578,0.010455283995631438,2.274879824676701,0.12005447985821598,2.2635863555848315,0.13277948033054224
450,0.82,0.041244444444444445,0.013210507972363946,0.03864444444444445,0.010451319465187727,2.1471893837342786,0.11936725695455298,2.1375142217337917,0.12214390098951004
425,0.83,0.03816470588235294,0.011003693127832337,0.037294117647058825,0.010750717398130433,2.0379779566617766,0.10920579491998009,2.0253328238999044,0.11403342736223576
400,0.84,0.036125000000000004,0.011080370987115964,0.036225,0.011183134623172523,1.9315166691705752,0.10556096283732813,1.9251740781770688,0.10645018897307569
375,0.85,0.034293333333333335,0.00943776115283716,0.03341333333333334,0.00900493941024964,1.8324180724632873,0.0954253865478055,1.8294470958142433,0.09325753668532412
350,0.86,0.0334,0.009811204832218123,0.03214285714285715,0.008835517985176535,1.7432041764675716,0.08727593664383539,1.7404770292574279,0.0824691042261432
325,0.87,0.03172307692307692,0.008048564564481192,0.03076923076923077,0.008205128205128205,1.6592841885189857,0.08363350004866246,1.6578331554214896,0.07636130161495751
300,0.88,0.030833333333333334,0.007421493341093607,0.030533333333333332,0.007679319086911827,1.5790408402413678,0.07662212970417319,1.5798727390644196,0.06660647566777066
275,0.89,0.029781818181818184,0.006772414497803641,0.02941818181818182,0.008091553920301444,1.5102926246001764,0.07133189539502524,1.506032295044897,0.059905414011402904
250,0.9,0.02916,0.007484286569509847,0.02844,0.007432280126501413,1.4440147884330552,0.06383507834065698,1.435416545961177,0.05883550619882833
225,0.91,0.02897777777777778,0.007902132384456364,0.028488888888888887,0.006835716737812934,1.3812085615379892,0.056832736492518965,1.3733301158900348,0.05639296572205532
200,0.92,0.02955,0.008441569819062153,0.02825,0.007666501974515658,1.3215045044681226,0.05406529666289501,1.3134879706362899,0.05046807989205654
175,0.93,0.0292,0.00855293820917086,0.027942857142857144,0.008318341493038452,1.266808326798224,0.052011736989013665,1.2648615247455095,0.050064434477343205
150,0.94,0.029666666666666668,0.007661468007596547,0.028133333333333333,0.008128043762088684,1.217047715599123,0.04586088969158111,1.2159538415866802,0.04649593535851951
125,0.95,0.03144,0.008140582958799136,0.02896,0.007080946121797424,1.1728580931784283,0.04431052990797476,1.1681624416561045,0.04248288134877189
100,0.96,0.0336,0.007979772407579536,0.0311,0.007091750791795302,1.1319952294251774,0.04301591291611889,1.123668716877081,0.03832791902708143
75,0.97,0.03666666666666667,0.01044465935734187,0.03426666666666667,0.008529081432285859,1.0909442561136862,0.04204319903937421,1.0837457518633824,0.04124661052521734
50,0.98,0.047,0.012831463854387954,0.044000000000000004,0.008989331499509893,1.0497129178952347,0.03855327512465751,1.0444068632452368,0.03487820204752535
25,0.99,0.0668,0.024157730845341407,0.062400000000000004,0.021514383255596407,1.0115411255411255,0.022370137618135135,1.0106060606060607,0.02276082429398244
1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
